symbol,market,cname,ename
9104,JT,商船三井,MITSUI OSK LINES LTD
9107,JT,川崎汽船,KAWASAKI KISEN KAISHA LTD
9502,JT,中部電力,CHUBU ELECTRIC POWER CO INC
9504,JT,中國電力公司,CHUGOKU ELECTRIC POWER CO
9506,JT,東北電力公司,TOHOKU ELECTRIC POWER CO INC
9508,JT,九州電力公司,KYUSHU ELECTRIC POWER CO INC
9513,JT,電源開發有限公司,ELECTRIC POWER DEVELOPMENT C
3401,JT,帝人股份有限公司,TEIJIN LTD
4902,JT,柯尼卡美能達,KONICA MINOLTA INC
6753,JT,夏普公司,SHARP CORP
6806,JT,HIROSE電機有限公司,HIROSE ELECTRIC CO LTD
7013,JT,IHI 公司,IHI CORP
7261,JT,馬自達汽車公司,MAZDA MOTOR CORP
7752,JT,理光有限公司,RICOH CO LTD
7936,JT,亞瑟士公司,ASICS CORP
9433,JT,KDDI,KDDI CORP
1963,JT,日揮公司,JGC HOLDINGS CORP
8570,JT,AEON Financial Service Co Lt,AEON FINANCIAL SERVICE CO LT
8830,JT,住友不動產有限公司,SUMITOMO REALTY & DEVELOPMEN
6361,JT,荏原製作所,EBARA CORP
7272,JT,山葉發動機有限公司,YAMAHA MOTOR CO LTD
8306,JT,三菱UFJ金融集團公司,MITSUBISHI UFJ FINANCIAL GRO
8304,JT,青空銀行有限公司,AOZORA BANK LTD
8309,JT,三井住友信託集團公司,SUMITOMO MITSUI TRUST GROUP
8316,JT,三井住友金融集團公司,SUMITOMO MITSUI FINANCIAL GR
8411,JT,瑞穗金融集團,MIZUHO FINANCIAL GROUP INC
8952,JT,日本不動產投資公司,JAPAN REAL ESTATE INVESTMENT
3861,JT,王子控股,OJI HOLDINGS CORP
6841,JT,橫河電機公司,YOKOGAWA ELECTRIC CORP
7269,JT,鈴木汽車,SUZUKI MOTOR CORP
3436,JT,勝高公司,SUMCO CORP
6367,JT,大金工業有限公司,DAIKIN INDUSTRIES LTD
6674,JT,GS湯淺公司,GS YUASA CORP
7211,JT,三菱汽車工業,MITSUBISHI MOTORS CORP
9984,JT,軟銀集團公司,SOFTBANK GROUP CORP
3099,JT,三越伊勢丹控股有限公司,ISETAN MITSUKOSHI HOLDINGS L
3402,JT,東麗,TORAY INDUSTRIES INC
4755,JT,樂天公司,RAKUTEN GROUP INC
6273,JT,SMC公司,SMC CORP
6326,JT,久保田,KUBOTA CORP
6465,JT,星崎電機公司,HOSHIZAKI CORP
6479,JT,美蓓亞三美公司,MINEBEA MITSUMI INC
6723,JT,瑞薩電子公司,RENESAS ELECTRONICS CORP
7203,JT,豐田汽車公司,TOYOTA MOTOR CORP
7731,JT,尼康公司,NIKON CORP
8331,JT,千葉銀行有限公司,CHIBA BANK LTD/THE
8801,JT,三井不動產,MITSUI FUDOSAN CO LTD
8802,JT,三菱地所,MITSUBISHI ESTATE CO LTD
5233,JT,太平洋水泥,TAIHEIYO CEMENT CORP
6370,JT,栗田工業有限公司,KURITA WATER INDUSTRIES LTD
6976,JT,太陽誘電,TAIYO YUDEN CO LTD
7186,JT,康科迪亞金融集團有限公司,CONCORDIA FINANCIAL GROUP LT
7201,JT,日產汽車有限公司,NISSAN MOTOR CO LTD
7267,JT,本田汽車,HONDA MOTOR CO LTD
8308,JT,Resona控股公司,RESONA HOLDINGS INC
8951,JT,日本建築基金,NIPPON BUILDING FUND INC
9201,JT,日本航空有限公司,JAPAN AIRLINES CO LTD
2800,HK,香港盈富基金,TRACKER FUND OF HONG KONG-B
2801,HK,iShares 安碩核心MSCI 中國ETF,ISHARES CORE MSCI CHINA -HKD
2822,HK,南方富時中國 A50 ETF,CSOP FTSE CHINA A50 ETF-HKD
2823,HK,iShares 安碩富時A50 中國ETF,ISHARES FTSE CHINA A50 E-HKD
2828,HK,恒生中國企業指數上市基金,HANGSENG CHINA ENT INDEX-HKD
3010,HK,iShares安碩核心MSCI亞洲(日本,ISHARES CORE MSCI AXJ -HKD
3188,HK,華夏滬深300指數ETF,CHINAAMC ETF SERIES - CH-HKD
82822,HK,南方富時中國 A50 ETF,CSOP FTSE CHINA A50 ETF-CNY
82823,HK,iShares 安碩富時A50 中國ETF,ISHARES FTSE CHINA A50 E-CNY
83188,HK,華夏滬深300指數ETF,CHINAAMC ETF SERIES - CH-CNY
778,HK,置富產業信託,FORTUNE REIT
101,HK,恒隆地產有限公司,HANG LUNG PROPERTIES LTD
998,HK,中信銀行股份有限公司,CHINA CITIC BANK CORP LTD-H
788,HK,中國鐵塔股份有限公司,CHINA TOWER CORP LTD-H
762,HK,中國聯合網絡通信（香港）股份,CHINA UNICOM HONG KONG LTD
1313,HK,華潤水泥控股有限公司,CHINA RESOURCES BUILDING MAT
902,HK,華能國際電力股份有限公司,HUANENG POWER INTL INC-H
3311,HK,中國建築國際集團有限公司,CHINA STATE CONSTRUCTION INT
941,HK,中國移動有限公司,CHINA MOBILE LTD
1071,HK,華電國際電力股份有限公司,HUADIAN POWER INTL CORP-H
2202,HK,萬科企業股份有限公司,CHINA VANKE CO LTD-H
2318,HK,中國平安保險（集團）股份有限,PING AN INSURANCE GROUP CO-H
1099,HK,國藥控股股份有限公司,SINOPHARM GROUP CO-H
1928,HK,金沙中國有限公司,SANDS CHINA LTD
2208,HK,金風科技股份有限公司,GOLDWIND SCIENCE&TECHNOLOG-H
2333,HK,長城汽車股份有限公司,GREAT WALL MOTOR CO LTD-H
3328,HK,交通銀行股份有限公司,BANK OF COMMUNICATIONS CO-H
5,HK,匯豐控股有限公司,HSBC HOLDINGS PLC
168,HK,青島啤酒股份有限公司,TSINGTAO BREWERY CO LTD-H
288,HK,萬洲國際有限公司,WH GROUP LTD
323,HK,馬鞍山鋼鐵股份有限公司,MAANSHAN IRON & STEEL-H
728,HK,中國電信股份有限公司,CHINA TELECOM CORP LTD-H
763,HK,中興通訊股份有限公司,ZTE CORP-H
916,HK,龍源電力集團股份有限公司,CHINA LONGYUAN POWER GROUP-H
1088,HK,中國神華能源股份有限公司,CHINA SHENHUA ENERGY CO-H
1958,HK,北京汽車股份有限公司,BAIC MOTOR CORP LTD-H
6881,HK,中國銀河証券股份有限公司,CHINA GALAXY SECURITIES CO-H
285,HK,比亞迪電子（國際）有限公司,BYD ELECTRONIC INTL CO LTD
347,HK,鞍鋼股份有限公司,ANGANG STEEL CO LTD-H
358,HK,江西銅業股份有限公司,JIANGXI COPPER CO LTD-H
670,HK,中國東方航空股份有限公司,CHINA EASTERN AIRLINES CO-H
1211,HK,比亞迪股份有限公司,BYD CO LTD-H
1398,HK,中國工商銀行股份有限公司,IND & COMM BK OF CHINA-H
2009,HK,北京金隅集團股份有限公司,BBMG CORP-H
2196,HK,上海復星醫藥（集團）股份有限,SHANGHAI FOSUN PHARMACEUTI-H
2238,HK,廣州汽車集團股份有限公司,GUANGZHOU AUTOMOBILE GROUP-H
2600,HK,中國鋁業股份有限公司,ALUMINUM CORP OF CHINA LTD-H
2628,HK,中國人壽保險股份有限公司,CHINA LIFE INSURANCE CO-H
2899,HK,紫金礦業集團股份有限公司,ZIJIN MINING GROUP CO LTD-H
3969,HK,中國鐵路通信信號股份有限公司,CHINA RAILWAY SIGNAL & COM-H
3993,HK,洛陽欒川鉬業集團股份有限公司,CMOC GROUP LTD-H
386,HK,中國石油化工股份有限公司,CHINA PETROLEUM & CHEMICAL-H
390,HK,中國中鐵股份有限公司,CHINA RAILWAY GROUP LTD-H
753,HK,中國國際航空股份有限公司,AIR CHINA LTD-H
816,HK,金茂物業服務發展股份有限公司,JINMAO PROPERTY SERVICES CO
857,HK,中國石油天然氣股份有限公司,PETROCHINA CO LTD-H
880,HK,澳門博彩控股有限公司,SJM HOLDINGS LTD
939,HK,中國建設銀行股份有限公司,CHINA CONSTRUCTION BANK-H
991,HK,大唐國際發電股份有限公司,DATANG INTL POWER GEN CO-H
1055,HK,中國南方航空股份有限公司,CHINA SOUTHERN AIRLINES CO-H
1138,HK,中遠海運能源運輸股份有限公司,COSCO SHIPPING ENERGY TRAN-H
1186,HK,中國鐵建股份有限公司,CHINA RAILWAY CONSTRUCTION-H
1288,HK,中國農業銀行股份有限公司,AGRICULTURAL BANK OF CHINA-H
1336,HK,新華人壽保險股份有限公司,NEW CHINA LIFE INSURANCE C-H
1766,HK,中國中車股份有限公司,CRRC CORP LTD - H
1798,HK,中國大唐集團新能源股份有限公,CHINA DATANG CORP RENEWABL-H
1800,HK,中國交通建設股份有限公司,CHINA COMMUNICATIONS CONST-H
1816,HK,中國廣核電力股份有限公司,CGN POWER CO LTD-H
2282,HK,美高梅中國控股有限公司,MGM CHINA HOLDINGS LTD
2601,HK,中國太平洋保險（集團）股份有,CHINA PACIFIC INSURANCE GR-H
2883,HK,中海油田服務股份有限公司,CHINA OILFIELD SERVICES-H
2888,HK,渣打集團有限公司,STANDARD CHARTERED PLC
3606,HK,福耀玻璃工業集團股份有限公司,FUYAO GLASS INDUSTRY GROUP-H
3968,HK,招商銀行股份有限公司,CHINA MERCHANTS BANK-H
3988,HK,中國銀行股份有限公司,BANK OF CHINA LTD-H
6030,HK,中信証券股份有限公司,CITIC SECURITIES CO LTD-H
6837,HK,海通證券股份有限公司,HAITONG SECURITIES CO LTD-H
522,HK,ASMPT Ltd,ASMPT LTD
2777,HK,廣州富力地產股份有限公司,GUANGZHOU R&F PROPERTIES - H
3323,HK,中國建材股份有限公司,CHINA NATIONAL BUILDING MA-H
3888,HK,金山軟件有限公司,KINGSOFT CORP LTD
151,HK,中國旺旺控股有限公司,WANT WANT CHINA HOLDINGS LTD
551,HK,裕元工業（集團）有限公司,YUE YUEN INDUSTRIAL HLDG
700,HK,騰訊控股有限公司,TENCENT HOLDINGS LTD
981,HK,中芯國際集成電路製造有限公司,SEMICONDUCTOR MANUFACTURING
322,HK,康師傅控股有限公司,TINGYI (CAYMAN ISLN) HLDG CO
823,HK,領展房地產投資信託基金,LINK REIT
1093,HK,石藥集團有限公司,CSPC PHARMACEUTICAL GROUP LT
1177,HK,中國生物製藥有限公司,SINO BIOPHARMACEUTICAL
1810,HK,小米集團,XIAOMI CORP-CLASS B
1910,HK,新秀麗集團有限公司,SAMSONITE GROUP SA
178,HK,莎莎國際控股有限公司,SA SA INTERNATIONAL HLDGS
973,HK,L'OCCITANE,L'OCCITANE INTERNATIONAL SA
1317,HK,中國楓葉教育集團有限公司,CHINA MAPLE LEAF EDUCATIONAL
6068,HK,光正教育國際控股有限公司,WISDOM EDUCATION INTERNATION
590,HK,六福集團（國際）有限公司,LUK FOOK HOLDINGS INTL LTD
1929,HK,周大福珠寶集團有限公司,CHOW TAI FOOK JEWELLERY GROU
388,HK,香港交易及結算所有限公司,HONG KONG EXCHANGES & CLEAR
945,HK,宏利金融,MANULIFE FINANCIAL CORP
1128,HK,永利澳門有限公司,WYNN MACAU LTD
1347,HK,華虹半導體有限公司,HUA HONG SEMICONDUCTOR LTD
2018,HK,瑞聲科技控股有限公司,AAC TECHNOLOGIES HOLDINGS IN
11,HK,恒生銀行有限公司,HANG SENG BANK LTD
14,HK,希慎興業有限公司,HYSAN DEVELOPMENT CO
2778,HK,冠君產業信託,CHAMPION REIT
6823,HK,香港電訊－ＳＳ,HKT TRUST AND HKT LTD-SS
2,HK,中電控股有限公司,CLP HOLDINGS LTD
2020,HK,安踏體育用品有限公司,ANTA SPORTS PRODUCTS LTD
2689,HK,玖龍紙業（控股）有限公司,NINE DRAGONS PAPER HOLDINGS
16,HK,新鴻基地產發展有限公司,SUN HUNG KAI PROPERTIES
23,HK,東亞銀行有限公司,BANK OF EAST ASIA LTD
293,HK,國泰航空有限公司,CATHAY PACIFIC AIRWAYS
19,HK,太古股份有限公司,SWIRE PACIFIC LTD - CL A
257,HK,中國光大環境（集團）有限公司,CHINA EVERBRIGHT ENVIRONMENT
1038,HK,長江基建集團有限公司,CK INFRASTRUCTURE HOLDINGS L
1972,HK,太古地產有限公司,SWIRE PROPERTIES LTD
2269,HK,藥明生物技術有限公司,WUXI BIOLOGICS CAYMAN INC
1,HK,長江和記實業有限公司,CK HUTCHISON HOLDINGS LTD
1112,HK,健合（H&H）國際控股有限公司,HEALTH AND HAPPINESS H&H INT
1966,HK,中駿集團控股有限公司,CHINA SCE GROUP HOLDINGS LTD
688,HK,中國海外發展有限公司,CHINA OVERSEAS LAND & INVEST
1044,HK,恒安國際集團有限公司,HENGAN INTL GROUP CO LTD
27,HK,銀河娛樂集團有限公司,GALAXY ENTERTAINMENT GROUP L
83,HK,信和置業有限公司,SINO LAND CO
12,HK,恒基兆業地產有限公司,HENDERSON LAND DEVELOPMENT
175,HK,吉利汽車控股有限公司,GEELY AUTOMOBILE HOLDINGS LT
836,HK,華潤電力控股有限公司,CHINA RESOURCES POWER HOLDIN
1818,HK,招金礦業股份有限公司,ZHAOJIN MINING INDUSTRY - H
2001,HK,中國新高教集團有限公司,CHINA NEW HIGHER EDUCATION G
2331,HK,李寧有限公司,LI NING CO LTD
2313,HK,申洲國際集團控股有限公司,SHENZHOU INTERNATIONAL GROUP
694,HK,北京首都國際機場股份有限公司,BEIJING CAPITAL INTL AIRPO-H
813,HK,世茂集團控股有限公司,SHIMAO GROUP HOLDINGS LTD
1114,HK,華晨中國汽車控股有限公司,BRILLIANCE CHINA AUTOMOTIVE
371,HK,北控水務集團有限公司,BEIJING ENTERPRISES WATER GR
489,HK,東風汽車集團股份有限公司,DONGFENG MOTOR GRP CO LTD-H
1066,HK,山東威高集團醫用高分子製品股,SHANDONG WEIGAO GP MEDICAL-H
1169,HK,海爾電器,HAIER ELECTRONICS GROUP CO
2319,HK,中國蒙牛乳業有限公司,CHINA MENGNIU DAIRY CO
6808,HK,高鑫零售有限公司,SUN ART RETAIL GROUP LTD
200,HK,新濠國際發展有限公司,MELCO INTERNATIONAL DEVELOP.
520,HK,呷哺呷哺餐飲管理（中國）控股,XIABUXIABU CATERING MANAGEME
552,HK,中國通信服務股份有限公司,CHINA COMMUNICATIONS SERVI-H
581,HK,中國東方集團控股有限公司,CHINA ORIENTAL GROUP CO LTD
636,HK,嘉里物流聯網有限公司,KLN LOGISTICS GROUP LTD
1515,HK,華潤醫療控股有限公司,CHINA RESOURCES MEDICAL HOLD
1628,HK,禹洲集團控股有限公司,YUZHOU GROUP HOLDINGS CO LTD
1918,HK,融創中國控股有限公司,SUNAC CHINA HOLDINGS LTD
2388,HK,中銀香港（控股）有限公司,BOC HONG KONG HOLDINGS LTD
3800,HK,協鑫科技控股有限公司,GCL TECHNOLOGY HOLDINGS LTD
1212,HK,利福國際,LIFESTYLE INTL HLDGS LTD
1997,HK,九龍倉置業地產投資有限公司,WHARF REAL ESTATE INVESTMENT
669,HK,創科實業有限公司,TECHTRONIC INDUSTRIES CO LTD
2038,HK,富智康集團有限公司,FIH MOBILE LTD
1316,HK,耐世特汽車系統集團有限公司,NEXTEER AUTOMOTIVE GROUP LTD
839,HK,中國教育集團控股有限公司,CHINA EDUCATION GROUP HOLDIN
883,HK,中國海洋石油有限公司,CNOOC LTD
2328,HK,中國人民財產保險股份有限公司,PICC PROPERTY & CASUALTY-H
6,HK,電能實業有限公司,POWER ASSETS HOLDINGS LTD
87001,HK,匯賢產業信託,HUI XIAN REIT
2638,HK,港燈－ＳＳ,HK ELECTRIC INVESTMENTS -SS
2383,HK,TOM集團有限公司,TOM GROUP LTD
4,HK,九龍倉集團有限公司,WHARF HOLDINGS LTD
20,HK,商湯集團股份有限公司,SENSETIME GROUP INC-CLASS B
772,HK,閱文集團,CHINA LITERATURE LTD
2314,HK,理文造紙有限公司,LEE & MAN PAPER MANUFACTURIN
2382,HK,舜宇光學科技（集團）有限公司,SUNNY OPTICAL TECH
2386,HK,中石化煉化工程（集團）股份有,SINOPEC ENGINEERING GROUP-H
2588,HK,中銀航空租賃有限公司,BOC AVIATION LTD
1109,HK,華潤置地有限公司,CHINA RESOURCES LAND LTD
69,HK,香格里拉（亞洲）有限公司,SHANGRI-LA ASIA LTD
425,HK,敏實集團有限公司,MINTH GROUP LTD
3377,HK,遠洋集團控股有限公司,SINO-OCEAN GROUP HOLDING LTD
3383,HK,雅居樂集團控股有限公司,AGILE GROUP HOLDINGS LTD
1193,HK,華潤燃氣控股有限公司,CHINA RESOURCES GAS GROUP LT
1299,HK,友邦保險控股有限公司,AIA GROUP LTD
2007,HK,碧桂園控股有限公司,COUNTRY GARDEN HOLDINGS CO
3900,HK,綠城中國控股有限公司,GREENTOWN CHINA HOLDINGS
960,HK,龍湖集團控股有限公司,LONGFOR GROUP HOLDINGS LTD
817,HK,中國金茂控股集團有限公司,CHINA JINMAO HOLDINGS GROUP
1813,HK,合景泰富集團控股有限公司,KWG GROUP HOLDINGS LTD
1113,HK,長江實業集團有限公司,CK ASSET HOLDINGS LTD
1913,HK,普拉達,PRADA S.P.A.
220,HK,統一企業中國控股有限公司,UNI-PRESIDENT CHINA HOLDINGS
9988,HK,阿里巴巴集團控股有限公司,ALIBABA GROUP HOLDING LTD
2359,HK,無錫藥明康德新藥開發股份有限,WUXI APPTEC CO LTD-H
1833,HK,平安健康醫療科技有限公司,PING AN HEALTHCARE AND TECHN
914,HK,安徽海螺水泥股份有限公司,ANHUI CONCH CEMENT CO LTD-H
3690,HK,美團,MEITUAN-CLASS B
9618,HK,京東集團股份有限公司,JD.COM INC-CLASS A
9999,HK,網易股份有限公司,NETEASE INC
291,HK,華潤啤酒（控股）有限公司,CHINA RESOURCES BEER HOLDING